date,portfolio_value,cash,n_positions,portfolio_return,sp500_value,sp500_return
2023-11-24,113429.93750415796,113429.93750415796,0,13.429937504157952,145.39981079101562,-8.008953392237428
2023-11-27,113429.93750415796,113429.93750415796,0,13.429937504157952,144.2366180419922,-8.744878135241564
2023-11-28,113429.93750415796,113429.93750415796,0,13.429937504157952,144.57032775878906,-8.533747832221783
2023-11-29,113429.93750415796,113429.93750415796,0,13.429937504157952,145.02798461914062,-8.244199081491466
2023-11-30,113429.93750415796,113429.93750415796,0,13.429937504157952,147.45924377441406,-6.705998494767407
2023-12-01,113429.93750415796,113429.93750415796,0,13.429937504157952,151.00604248046875,-4.462022224770845
2023-12-04,113429.93750415796,113429.93750415796,0,13.429937504157952,151.48275756835938,-4.160415780923399
2023-12-05,113429.93750415796,113429.93750415796,0,13.429937504157952,151.16812133789062,-4.359478736948441
2023-12-06,113429.93750415796,113429.93750415796,0,13.429937504157952,149.32798767089844,-5.523688105611879
2023-12-07,113429.93750415796,113429.93750415796,0,13.429937504157952,148.16477966308594,-6.259622502493601
2023-12-08,113429.93750415796,113429.93750415796,0,13.429937504157952,147.23040771484375,-6.850777697071364
2023-12-11,113429.93750415796,113429.93750415796,0,13.429937504157952,147.84060668945312,-6.464719132016006
2023-12-12,113429.93750415796,113429.93750415796,0,13.429937504157952,147.85015869140625,-6.458675804641045
2023-12-13,113429.93750415796,113429.93750415796,0,13.429937504157952,148.53663635253906,-6.024357505484367
2023-12-14,113429.93750415796,113429.93750415796,0,13.429937504157952,149.5663299560547,-5.372894537565742
2023-12-15,113429.93750415796,113429.93750415796,0,13.429937504157952,147.9359588623047,-6.40439205091996
2023-12-18,113429.93750415796,113429.93750415796,0,13.429937504157952,148.2029266357422,-6.2354878085041365
2023-12-19,113429.93750415796,113429.93750415796,0,13.429937504157952,149.1754608154297,-5.620188266059323
2023-12-20,113429.93750415796,113429.93750415796,0,13.429937504157952,146.1339569091797,-7.544476379471532
2023-12-21,113429.93750415796,113429.93750415796,0,13.429937504157952,147.630859375,-6.59742133344764
2023-12-22,113429.93750415796,113429.93750415796,0,13.429937504157952,148.22201538085938,-6.223410807631813
2023-12-26,113429.93750415796,113429.93750415796,0,13.429937504157952,148.87034606933594,-5.813227202464599
2023-12-27,113429.93750415796,113429.93750415796,0,13.429937504157952,149.07057189941406,-5.686549020652731
2023-12-28,113429.93750415796,113429.93750415796,0,13.429937504157952,149.28985595703125,-5.547813145723735
2023-12-29,113429.93750415796,113429.93750415796,0,13.429937504157952,149.4424285888672,-5.45128402364351
2024-01-02,113429.93750415796,113429.93750415796,0,13.429937504157952,152.52200317382812,-3.5029094856298126
2024-01-03,113429.93750415796,113429.93750415796,0,13.429937504157952,153.4754638671875,-2.899677290179725
2024-01-04,113429.93750415796,113429.93750415796,0,13.429937504157952,153.15130615234375,-3.1047642658245445
2024-01-05,113429.93750415796,113429.93750415796,0,13.429937504157952,153.62802124023438,-2.803157821977087
2024-01-08,113429.93750415796,113429.93750415796,0,13.429937504157952,154.00938415527344,-2.561878459225686
2024-01-09,113429.93750415796,113429.93750415796,0,13.429937504157952,154.10472106933594,-2.501561032007238
2024-01-10,113429.93750415796,113429.93750415796,0,13.429937504157952,154.33355712890625,-2.3567818297032805
2024-01-11,113429.93750415796,113429.93750415796,0,13.429937504157952,153.64706420898438,-2.7911097827375553
2024-01-12,113429.93750415796,113429.93750415796,0,13.429937504157952,154.82933044433594,-2.043117692738705
2024-01-16,113429.93750415796,113429.93750415796,0,13.429937504157952,153.04641723632812,-3.171125020417953
2024-01-17,113429.93750415796,113429.93750415796,0,13.429937504157952,152.96058654785156,-3.2254280818942327
2024-01-18,113429.93750415796,113429.93750415796,0,13.429937504157952,153.7042999267578,-2.754898087875768
2024-01-19,113429.93750415796,113429.93750415796,0,13.429937504157952,154.1523895263672,-2.4714023183980083
2024-01-22,113429.93750415796,113429.93750415796,0,13.429937504157952,154.90562438964844,-1.9948483047597887
2024-01-23,113429.93750415796,113429.93750415796,0,13.429937504157952,152.36944580078125,-3.599428953832451
2024-01-24,113429.93750415796,113429.93750415796,0,13.429937504157952,151.55905151367188,-4.112146392944482
